date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:06	11812/11812	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:05%20GMT	http://laravel.com/docs/master/collections	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/collections.html	(from http://laravel.com/docs/master)
10:14:06	17270/17270	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:05%20GMT	http://laravel.com/docs/master/bus	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/bus.html	(from http://laravel.com/docs/master)
10:14:07	23630/23630	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:06%20GMT	http://laravel.com/docs/master/extending	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/extending.html	(from http://laravel.com/docs/master)
10:14:07	10864/10864	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:06%20GMT	http://laravel.com/docs/master/encryption	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/encryption.html	(from http://laravel.com/docs/master)
10:14:08	15698/15698	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:07%20GMT	http://laravel.com/docs/master/errors	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/errors.html	(from http://laravel.com/docs/master)
10:14:08	15867/15867	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:08%20GMT	http://laravel.com/docs/master/events	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/events.html	(from http://laravel.com/docs/master)
10:14:09	14008/14008	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:08%20GMT	http://laravel.com/docs/master/filesystem	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/filesystem.html	(from http://laravel.com/docs/master)
10:14:09	11157/11157	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:08%20GMT	http://laravel.com/docs/master/hashing	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/hashing.html	(from http://laravel.com/docs/master)
10:14:10	20958/20958	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:09%20GMT	http://laravel.com/docs/master/helpers	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/helpers.html	(from http://laravel.com/docs/master)
10:14:10	14936/14936	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:10%20GMT	http://laravel.com/docs/master/localization	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/localization.html	(from http://laravel.com/docs/master)
10:14:11	17755/17755	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:10%20GMT	http://laravel.com/docs/master/mail	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/mail.html	(from http://laravel.com/docs/master)
10:14:11	16668/16668	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:10%20GMT	http://laravel.com/docs/master/packages	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/packages.html	(from http://laravel.com/docs/master)
10:14:11	14748/14748	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:11%20GMT	http://laravel.com/docs/master/pagination	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/pagination.html	(from http://laravel.com/docs/master)
10:14:12	25501/25501	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:11%20GMT	http://laravel.com/docs/master/queues	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/queues.html	(from http://laravel.com/docs/master)
10:14:12	14634/14634	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Feb%202015%2004:44:12%20GMT	http://laravel.com/docs/master/session	/home/neeraj/Desktop/project/docs/laravel/laravel.com/docs/master/session.html	(from http://laravel.com/docs/master)
